date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2019-10-25,15.94,,,,,,,,,,,,,
2019-10-28,17.21,,,,,,,,,,,,,
2019-10-29,16.43,,,,,,,,,,,,,
2019-10-30,16.21,,,,,,,,,,,,,
2019-10-31,16.43,,,,,,,,,,,,,
2019-11-01,18.38,,,,,,,,,,,,,
2019-11-04,19.05,,,,,,,,,,,,,
2019-11-05,19.79,,,,,,,,,,,,,
2019-11-06,19.9,,,,,,,,,,,,,
2019-11-07,20.92,,,,,,,,,,,,,
2019-11-08,21.75,,,,,,,,,,,,,
2019-11-11,21.99,,,,,,,,,,,,,
2019-11-12,20.81,,,,,,,,,,,,,
2019-11-13,20.5,,,,,,,,,,,,,
2019-11-14,20.56,,,,,,,,,,,,,
2019-11-15,23.76,,,,,,,,,,,,,
2019-11-18,24.92,,,,,,,,,,,,,
2019-11-19,26.82,,,,,,,,,,,,,
2019-11-20,26.56,,,,,,,,,,,,,
2019-11-21,27.0,,,,,,,,,,,,,
2019-11-22,25.68,,,,,,,,,,,,,
2019-11-25,25.72,,,,,,,,,,,,,
2019-11-26,25.76,,,,,,,,,,,,,
2019-11-27,26.99,,,,,,,,,,,,,
2019-11-29,26.64,,,,,,,,,,,,,
2019-12-02,28.54,,,,,,,,,,,,,
2019-12-03,27.72,,,,,,,,,,,,,
2019-12-04,26.34,,,,,,,,,,,,,
2019-12-05,27.86,,,,,,,,,,,,,
2019-12-06,30.49,,,,,,,,,,,,,
2019-12-09,27.81,,,,,,,,,,,,,
2019-12-10,27.33,,,,,,,,,,,,,
2019-12-11,26.46,,,,,,,,,,,,,
2019-12-12,25.16,,,,,,,,,,,,,
2019-12-13,25.99,,,,,,,,,,,,,
2019-12-16,24.91,,,,,,,,,,,,,
2019-12-17,25.49,,,,,,,,,,,,,
2019-12-18,24.46,,,,,,,,,,,,,
2019-12-19,23.84,,,,,,,,,,,,,
2019-12-20,23.54,,,,,,,,,,,,,
2019-12-23,25.7,,,,,,,,,,,,,
2019-12-24,25.65,,,,,,,,,,,,,
2019-12-26,26.27,,,,,,,,,,,,,
2019-12-27,27.95,,,,,,,,,,,,,
2019-12-30,28.205,,,,,,,,,,,,,
2019-12-31,27.45,,,,,,,,,,,,,
2020-01-02,25.96,,,,,,,,,,,,,
2020-01-03,25.91,,,,,,,,,,,,,
2020-01-06,27.97,,,,,,,,,,,,,
2020-01-07,29.32,,,,,,,,,,,,,
2020-01-08,29.39,,,,,,,,,,,,,
2020-01-09,28.6,,,,,,,,,,,,,
2020-01-10,29.26,,,,,,,,,,,,,
2020-01-13,31.81,,,,,,,,,,,,,
2020-01-14,33.34,,,,,,,,,,,,,
2020-01-15,31.03,,,,,,,,,,,,,
2020-01-16,31.61,,,,,,,,,,,,,
2020-01-17,30.49,,,,,,,,,,,,,
2020-01-21,32.37,,,,,,,,,,,,,
2020-01-22,32.02,,,,,,,,,,,,,
2020-01-23,32.5,,,,,,,,,,,,,
2020-01-24,32.1,,,,,,,,,,,,,
2020-01-27,31.62,,,,,,,,,,,,,
2020-01-28,31.85,,,,,,,,,,,,,
2020-01-29,30.51,,,,,,,,,,,,,
2020-01-30,28.69,,,,,,,,,,,,,
